baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genes
141.3579525,1.257494782,0.33738369,3.72719494,0.000193623,0.016568849,LOC114582291
98.63550703,-5.328987659,0.508285309,-10.48424491,1.02E-25,8.69E-22,LOC114582779
576.8221118,-0.677724786,0.14308843,-4.736405216,2.18E-06,0.000514518,APEX1
35.69147869,5.094966252,0.947783572,5.375664234,7.63E-08,2.77E-05,LOC114582364
744.4937495,-5.98102426,1.288776568,-4.640854287,3.47E-06,0.000777445,LOC114583607
252.5173226,-0.692976497,0.205162122,-3.377701932,0.000730943,0.040121219,CNTROB
377.0533489,1.048436102,0.299635895,3.49903373,0.000466948,0.029450552,RNF227
19.60020039,-1.754524053,0.47365407,-3.70423092,0.000212033,0.017699562,TMEM88
341.6384634,-1.2910763,0.345016528,-3.742070879,0.00018251,0.016049059,LOC114582580
675.8517714,-0.640089015,0.152418869,-4.199539185,2.67E-05,0.00370289,SLC12A9
534.6396492,-1.245082544,0.316770302,-3.930553261,8.48E-05,0.009280204,PCOLCE
1405.986066,0.966953099,0.231497881,4.176941461,2.95E-05,0.004005564,CSPG4
1203.795876,-1.334389915,0.212690946,-6.27384446,3.52E-10,2.61E-07,LOXL1
1333.047473,0.546442678,0.140181631,3.898104736,9.69E-05,0.01012844,FAM214A
169.9731487,1.090184563,0.302224249,3.607204146,0.000309514,0.022799299,SHC4
5366.481129,0.866064247,0.263516686,3.286563209,0.00101418,0.049582286,SECISBP2L
2205.373966,-0.899290722,0.236214332,-3.807096349,0.000140608,0.013390316,IL16
2047.269425,-1.596583741,0.455955419,-3.501622468,0.000462434,0.029383564,PLIN1
437.6986671,-0.623097341,0.1813975,-3.434983058,0.000592591,0.034467287,SYNM
1169.311296,-0.908536877,0.158396712,-5.735831664,9.70E-09,4.86E-06,CTSH
1336.09043,-0.610693312,0.177624964,-3.438105202,0.0005858,0.034280376,SERF2
258.3952401,-1.156763531,0.352026418,-3.28601341,0.001016162,0.049582286,SOX8
1426.303754,0.482063458,0.108645322,4.437038321,9.12E-06,0.001670033,CARHSP1
31.43903453,-2.838198317,0.81817625,-3.46893266,0.00052253,0.031905091,TMEM130
700.0734412,-0.700454507,0.150400325,-4.657267247,3.20E-06,0.000727557,CHST12
535.5973388,-0.676781278,0.133758096,-5.059740658,4.20E-07,0.000117201,GLIS2
58.31672691,-1.216517699,0.343420866,-3.542352316,0.000396575,0.026798741,LOC114585819
1749.24372,0.350901035,0.091935085,3.816834826,0.000135175,0.013153647,VPS53
1614.236661,1.416657593,0.32611721,4.344013588,1.40E-05,0.002226547,DUSP14
5850.214375,0.625979794,0.145745628,4.295015931,1.75E-05,0.002704217,LOC114585595
1953.233999,-0.352494024,0.099460171,-3.544072151,0.000393997,0.026730605,CHCHD2
227.313946,-1.233351533,0.268489253,-4.593671891,4.36E-06,0.000915601,LOC114585528
295.8277508,-5.368961114,1.496896293,-3.586728846,0.000334852,0.024059908,LOC114585795
747.5924529,-1.047486113,0.262863731,-3.984901641,6.75E-05,0.007632908,ADAMTS15
60.93351925,1.098779063,0.284577528,3.861088645,0.000112883,0.011442164,LOC114585920
782.7545091,-2.196258797,0.394076684,-5.573176204,2.50E-08,1.12E-05,LOC114585329
6076.275058,-2.321975565,0.392352626,-5.918083408,3.26E-09,1.68E-06,LOC114585688
16513.11247,1.082527842,0.324627386,3.334678118,0.000853982,0.044055753,LOC114585728
1094.806315,0.449297992,0.132586731,3.388710095,0.000702222,0.039396305,MPZL3
3084.668936,0.758557107,0.190462063,3.982720201,6.81E-05,0.007632908,RAB11FIP1
1131.564504,-0.42086547,0.107888983,-3.900912382,9.58E-05,0.010073477,LOC114586945
2946.838761,1.449088447,0.315717591,4.589824866,4.44E-06,0.000921265,LOC114586753
939.2605253,-0.512715686,0.129273255,-3.966138897,7.30E-05,0.008130101,APH1A
149.9582921,1.768130707,0.510379728,3.464343527,0.000531527,0.031983667,LOC114586936
3602.629114,1.184235356,0.279571297,4.235897489,2.28E-05,0.00323041,LOC114586938
